source,aircraft,date,from,to,flight,flight_time,std,atd,sta,status
regeneron,N459FX,30 Jan 2026,St. Paul (STP),Orlando (SFB),LXJ459,2:35,5:00 PM,5:18 PM,8:43 PM,30 Jan 2026
regeneron,N459FX,29 Jan 2026,San Jose del Cabo (SJD),El Paso (ELP),LXJ459,1:24,1:33 PM,1:55 PM,3:50 PM,29 Jan 2026
regeneron,N459FX,29 Jan 2026,Scottsdale (SCF),Van Nuys (VNY),LXJ459,1:06,7:35 AM,8:21 AM,7:53 AM,28 Jan 2026
regeneron,N459FX,26 Jan 2026,Kahului (OGG),Honolulu (HNL),LXJ459,0:32,5:04 PM,5:43 PM,5:38 PM,26 Jan 2026
regeneron,N459FX,26 Jan 2026,Vancouver (YVR),Seattle (BFI),LXJ459,0:27,10:54 AM,11:07 AM,11:34 AM,25 Jan 2026
regeneron,N459FX,25 Jan 2026,San Diego (SAN),San Jose (SJC),LXJ459,1:04,1:05 PM,1:42 PM,2:18 PM,25 Jan 2026
regeneron,N459FX,25 Jan 2026,San Francisco (SFO),Pendleton (PDT),LXJ459,1:21,7:05 AM,7:53 AM,8:36 AM,24 Jan 2026
regeneron,N459FX,24 Jan 2026,Miami (OPF),Seattle (BFI),LXJ459,6:09,1:02 PM,1:50 PM,4:02 PM,23 Jan 2026
regeneron,N459FX,22 Jan 2026,Liberia (LIR),Jacksonville (JAX),LXJ459,2:44,12:36 PM,12:36 PM,3:53 PM,22 Jan 2026
regeneron,N459FX,21 Jan 2026,Nashville (BNA),Naples (APF),LXJ459,1:43,4:10 PM,7:44 PM,6:10 PM,20 Jan 2026
regeneron,N459FX,20 Jan 2026,Bedford (BED),Chicago (MDW),LXJ459,2:20,6:15 AM,7:02 AM,7:33 AM,19 Jan 2026
regeneron,N459FX,19 Jan 2026,Jackson (JAC),Teterboro (TEB),LXJ459,3:37,9:30 AM,10:12 AM,3:05 PM,19 Jan 2026
regeneron,N459FX,14 Jan 2026,Teterboro (TEB),Seattle (BFI),LXJ459,5:12,8:30 AM,10:11 AM,10:41 AM,13 Jan 2026
regeneron,N459FX,12 Jan 2026,Nashville (BNA),Atlanta (PDK),LXJ459,0:37,11:14 AM,11:48 AM,12:57 PM,12 Jan 2026
regeneron,N459FX,12 Jan 2026,Cleveland (CLE),Toledo (TOL),LXJ459,0:25,8:03 AM,8:40 AM,8:35 AM,09 Jan 2026
regeneron,N459FX,09 Jan 2026,North Eleuthera (ELH),Key West (EYW),LXJ459,1:06,1:33 PM,12:06 PM,2:33 PM,09 Jan 2026
regeneron,N459FX,08 Jan 2026,White Plains (HPN),Teterboro (TEB),LXJ459,0:19,1:30 PM,1:49 PM,1:57 PM,07 Jan 2026
regeneron,N459FX,06 Jan 2026,San Juan (SJU),Sint Maarten (SXM),LXJ459,0:36,4:44 PM,4:51 PM,4:54 PM,06 Jan 2026
regeneron,N459FX,05 Jan 2026,McKinney (QQT),Raleigh-Durham (RDU),LXJ459,2:04,3:30 PM,3:53 PM,6:51 PM,04 Jan 2026
regeneron,N459FX,04 Jan 2026,Teterboro (TEB),Miami (OPF),LXJ459,2:25,12:45 PM,12:45 PM,—,04 Jan 2026
regeneron,N459FX,02 Jan 2026,Cleveland (CLE),Antigua (ANU),LXJ459,3:54,11:00 AM,11:14 AM,3:56 PM,
regeneron,N459FX,30 Dec 2025,White Plains (HPN),Cleveland (CLE),LXJ459,1:14,4:40 PM,5:34 PM,5:53 PM,30 Dec 2025
regeneron,N459FX,30 Dec 2025,San Francisco (SFO),Bozeman (BZN),LXJ459,1:45,6:12 AM,7:01 AM,9:12 AM,28 Dec 2025
regeneron,N459FX,27 Dec 2025,Phoenix (PHX),Kailua-Kona (KOA),LXJ459,6:00,1:01 PM,2:06 PM,4:02 PM,27 Dec 2025
regeneron,N459FX,27 Dec 2025,Laredo (LRD),Midland (MAF),LXJ459,0:49,9:31 AM,10:14 AM,10:32 AM,26 Dec 2025
regeneron,N459FX,26 Dec 2025,Austin (AUS),Cabo San Lucas (CSL),LXJ459,2:19,1:00 PM,3:02 PM,2:19 PM,25 Dec 2025
regeneron,N459FX,24 Dec 2025,Van Nuys (VNY),Cabo San Lucas (CSL),LXJ459,2:19,8:45 AM,9:09 AM,12:06 PM,23 Dec 2025
regeneron,N459FX,20 Dec 2025,Tampa (TPA),Salt Lake City (SLC),LXJ459,4:25,10:30 AM,12:00 PM,12:50 PM,20 Dec 2025
regeneron,N459FX,19 Dec 2025,Miami (TMB),Teterboro (TEB),LXJ459,2:48,1:00 PM,2:25 PM,3:31 PM,19 Dec 2025
regeneron,N459FX,18 Dec 2025,Teterboro (TEB),Miami (OPF),LXJ459,2:52,5:00 PM,6:12 PM,7:45 PM,18 Dec 2025
regeneron,N459FX,18 Dec 2025,West Palm Beach (PBI),White Plains (HPN),LXJ459,2:20,9:30 AM,10:23 AM,12:00 PM,17 Dec 2025
regeneron,N459FX,15 Dec 2025,Boca Raton (BCT),Orlando (SFB),LXJ459,0:40,3:01 PM,4:02 PM,3:27 PM,15 Dec 2025
regeneron,N459FX,15 Dec 2025,West Palm Beach (PBI),Liberia (LIR),LXJ459,2:55,8:24 AM,8:43 AM,10:13 AM,14 Dec 2025
regeneron,N459FX,13 Dec 2025,Miami (MIA),St. Louis (SUS),LXJ459,2:28,9:00 AM,9:53 AM,10:33 AM,12 Dec 2025
regeneron,N459FX,12 Dec 2025,Boca Raton (BCT),Liberia (LIR),LXJ459,2:41,9:30 AM,10:11 AM,11:18 AM,11 Dec 2025
regeneron,N459FX,11 Dec 2025,Atlanta (PDK),Orlando (ORL),LXJ459,1:01,11:23 AM,11:50 AM,12:31 PM,11 Dec 2025
regeneron,N459FX,10 Dec 2025,West Palm Beach (PBI),Charlotte (CLT),LXJ459,1:25,10:43 PM,11:03 PM,12:20 AM,10 Dec 2025
regeneron,N459FX,10 Dec 2025,West Palm Beach (PBI),Philadelphia (PHL),LXJ459,2:13,7:00 AM,7:37 AM,9:50 AM,09 Dec 2025
regeneron,N459FX,08 Dec 2025,Miami (OPF),Greenville-Spartanburg (GSP),LXJ459,1:25,1:28 PM,12:02 PM,1:28 PM,08 Dec 2025
regeneron,N459FX,07 Dec 2025,Cartagena (CTG),Teterboro (TEB),LXJ459,4:27,2:56 PM,10:29 AM,2:56 PM,06 Dec 2025
regeneron,N459FX,06 Dec 2025,Dallas (DAL),Belize City (BZE),LXJ459,2:39,2:15 PM,11:36 AM,2:15 PM,03 Dec 2025
regeneron,N459FX,02 Dec 2025,Morristown (MMU),San Antonio (SAT),LXJ459,3:53,11:45 AM,11:58 AM,2:42 PM,02 Dec 2025
regeneron,N459FX,02 Dec 2025,Aguadilla (BQN),Teterboro (TEB),LXJ459,3:38,5:40 AM,6:01 AM,8:11 AM,01 Dec 2025
regeneron,N459FX,01 Dec 2025,New York (JFK),San Juan (SJU),LXJ459,3:18,9:00 AM,9:45 AM,1:31 PM,30 Nov 2025
regeneron,N459FX,30 Nov 2025,The Valley (AXA),White Plains (HPN),LXJ459,4:12,10:00 AM,10:30 AM,12:46 PM,29 Nov 2025
regeneron,N459FX,28 Nov 2025,Chicago (PWK),Naples (APF),LXJ459,2:22,7:00 PM,7:27 PM,10:32 PM,28 Nov 2025
regeneron,N459FX,25 Nov 2025,Chicago (PWK),Fernandina Beach (QSB),LXJ459,1:53,3:30 PM,4:04 PM,6:30 PM,25 Nov 2025
regeneron,N459FX,25 Nov 2025,Miami (TMB),Evansville (EVV),LXJ459,2:09,8:45 AM,9:39 AM,10:00 AM,24 Nov 2025
regeneron,N459FX,24 Nov 2025,New York (JFK),Miami (MIA),LXJ459,2:22,1:00 PM,1:30 PM,3:25 PM,24 Nov 2025
regeneron,N459FX,22 Nov 2025,Los Angeles (LAX),White Plains (HPN),LXJ459,4:42,10:30 PM,11:15 PM,6:22 AM,22 Nov 2025
regeneron,N459FX,21 Nov 2025,San Jose (SJC),Santa Ana (SNA),LXJ459,1:28,8:00 PM,8:10 PM,9:04 PM,21 Nov 2025
regeneron,N459FX,20 Nov 2025,New Haven (HVN),Santa Ana (SNA),LXJ459,5:54,3:30 PM,3:55 PM,6:11 PM,20 Nov 2025
regeneron,N459FX,20 Nov 2025,Chicago (MDW),Teterboro (TEB),LXJ459,1:26,9:00 AM,9:58 AM,11:41 AM,19 Nov 2025
regeneron,N459FX,11 Nov 2025,Akron (CAK),Cleveland (CGF),LXJ459,-,9:34 AM,9:54 AM,9:55 AM,11 Nov 2025
regeneron,N459FX,10 Nov 2025,Dallas (DAL),Oklahoma City (OKC),LXJ459,0:38,2:13 PM,3:47 PM,2:57 PM,10 Nov 2025
regeneron,N459FX,10 Nov 2025,Boca Raton (BCT),Providenciales (PLS),LXJ459,1:27,8:35 AM,8:30 AM,10:07 AM,09 Nov 2025
regeneron,N459FX,09 Nov 2025,North Eleuthera (ELH),Houston (SGR),LXJ459,2:59,12:30 PM,12:08 PM,2:20 PM,09 Nov 2025
regeneron,N459FX,08 Nov 2025,Teterboro (TEB),Miami (OPF),LXJ459,2:44,5:00 PM,7:08 PM,7:45 PM,08 Nov 2025
regeneron,N459FX,08 Nov 2025,Miami (MIA),Providence (PVD),LXJ459,2:42,10:30 AM,11:17 AM,1:08 PM,07 Nov 2025
regeneron,N459FX,07 Nov 2025,Teterboro (TEB),George Town (GCM),LXJ459,3:33,10:00 AM,11:07 AM,1:25 PM,06 Nov 2025
regeneron,N459FX,06 Nov 2025,Philadelphia (TTN),South Bend (SBN),LXJ459,1:34,4:15 PM,5:02 PM,5:52 PM,06 Nov 2025
regeneron,N459FX,05 Nov 2025,Houston (DWH),Fort Myers (RSW),LXJ459,2:09,10:30 AM,11:26 AM,1:51 PM,05 Nov 2025
regeneron,N459FX,03 Nov 2025,Cabo San Lucas (CSL),Dallas (DAL),LXJ459,2:29,10:39 AM,10:42 AM,2:07 PM,02 Nov 2025
regeneron,N459FX,02 Nov 2025,Sacramento (MHR),Vancouver (YVR),LXJ459,1:41,12:15 PM,12:21 PM,2:06 PM,01 Nov 2025
regeneron,N459FX,01 Nov 2025,Charleston (JZI),New York (EWR),LXJ459,1:30,2:14 PM,2:25 PM,3:59 PM,31 Oct 2025
regeneron,N459FX,29 Oct 2025,Washington (DCA),White Plains (HPN),LXJ459,0:49,4:45 PM,4:51 PM,5:51 PM,29 Oct 2025
regeneron,N459FX,28 Oct 2025,San Francisco (SFO),Washington (IAD),LXJ459,4:39,1:45 PM,2:16 PM,9:33 PM,28 Oct 2025
regeneron,N459FX,25 Oct 2025,Van Nuys (VNY),Napa (APC),LXJ459,-,9:30 AM,9:25 AM,9:39 AM,24 Oct 2025
regeneron,N459FX,24 Oct 2025,Mountain View (NUQ),San Jose (SJC),LXJ459,0:14,11:41 AM,12:40 PM,11:52 AM,24 Oct 2025
regeneron,N459FX,23 Oct 2025,Coatesville (CTH),Teterboro (TEB),LXJ459,0:36,3:38 PM,4:06 PM,4:10 PM,23 Oct 2025
regeneron,N459FX,23 Oct 2025,White Plains (HPN),West Palm Beach (PBI),LXJ459,2:30,8:00 AM,9:12 AM,10:27 AM,22 Oct 2025
regeneron,N459FX,20 Oct 2025,White Plains (HPN),Zurich (ZRH),LXJ459,7:18,6:30 AM,6:49 AM,7:55 PM,19 Oct 2025
regeneron,N459FX,19 Oct 2025,Dallas (DAL),Charlottesville (CHO),LXJ459,2:09,10:11 AM,10:45 AM,1:32 PM,18 Oct 2025
regeneron,N459FX,18 Oct 2025,Dallas (DAL),Pickens (LQK),LXJ459,1:43,10:40 AM,11:25 AM,1:32 PM,17 Oct 2025
regeneron,N459FX,17 Oct 2025,San Jose (SJC),Austin (AUS),LXJ459,3:11,11:30 AM,12:04 PM,4:41 PM,16 Oct 2025
regeneron,N459FX,16 Oct 2025,Washington (IAD),San Francisco (SFO),LXJ459,5:15,5:30 PM,6:21 PM,7:48 PM,16 Oct 2025
regeneron,N459FX,16 Oct 2025,Philadelphia (TTN),South Bend (SBN),LXJ459,1:35,1:00 PM,1:38 PM,2:35 PM,16 Oct 2025
regeneron,N459FX,15 Oct 2025,Los Angeles (LAX),Washington (IAD),LXJ459,4:14,3:30 PM,3:57 PM,10:57 PM,14 Oct 2025
regeneron,N459FX,14 Oct 2025,Miami (OPF),Cabo San Lucas (CSL),LXJ459,3:49,1:00 PM,1:58 PM,1:56 PM,14 Oct 2025
regeneron,N459FX,13 Oct 2025,Burlington (QQY),White Plains (HPN),LXJ459,1:20,7:02 PM,6:44 PM,8:34 PM,13 Oct 2025
regeneron,N459FX,13 Oct 2025,Las Vegas (LAS),Akron (CAK),LXJ459,3:16,9:30 AM,10:37 AM,4:00 PM,13 Oct 2025
regeneron,N459FX,11 Oct 2025,White Plains (HPN),Van Nuys (VNY),LXJ459,5:29,9:15 PM,11:09 PM,11:54 PM,10 Oct 2025
regeneron,N459FX,10 Oct 2025,West Palm Beach (PBI),Raleigh-Durham (RDU),LXJ459,1:33,11:57 AM,11:23 AM,1:49 PM,10 Oct 2025
regeneron,N459FX,09 Oct 2025,Nashville (BNA),Houston (SGR),LXJ459,1:29,9:15 PM,9:05 PM,10:57 PM,09 Oct 2025
regeneron,N459FX,08 Oct 2025,New Orleans (NEW),Houston (SGR),LXJ459,0:54,4:30 PM,4:41 PM,5:31 PM,08 Oct 2025
regeneron,N459FX,07 Oct 2025,Los Angeles (LAX),San Luis Obispo (SBP),LXJ459,0:31,5:33 PM,6:03 PM,6:13 PM,07 Oct 2025
regeneron,N459FX,07 Oct 2025,Boca Raton (BCT),Miami (MIA),LXJ459,0:22,12:36 PM,1:00 PM,1:00 PM,06 Oct 2025
regeneron,N459FX,05 Oct 2025,Chicago (MDW),New York (LGA),LXJ459,1:35,3:00 PM,3:59 PM,5:49 PM,05 Oct 2025
regeneron,N459FX,04 Oct 2025,San Jose del Cabo (SJD),Dallas (DAL),LXJ459,2:29,9:15 AM,9:18 AM,1:43 PM,04 Oct 2025
regeneron,N459FX,03 Oct 2025,Scottsdale (SCF),Scottsdale (SCF),LXJ459,0:18,3:00 PM,3:12 PM,3:33 PM,03 Oct 2025
regeneron,N459FX,02 Oct 2025,Oakland (OAK),Monterey (MRY),LXJ459,0:30,6:54 PM,7:28 PM,7:57 PM,02 Oct 2025
regeneron,N459FX,02 Oct 2025,Thermal (TRM),Camarillo (QTC),LXJ459,0:40,2:46 PM,3:19 PM,3:33 PM,02 Oct 2025
regeneron,N459FX,02 Oct 2025,San Francisco (SFO),Van Nuys (VNY),LXJ459,0:51,10:00 AM,10:10 AM,11:00 AM,
regeneron,N459FX,30 Sep 2025,Nassau (NAS),San Francisco (SFO),LXJ459,5:57,8:00 AM,11:21 AM,10:49 AM,29 Sep 2025
regeneron,N459FX,29 Sep 2025,Baltimore (BWI),Naples (APF),LXJ459,2:21,2:30 PM,3:04 PM,5:24 PM,29 Sep 2025
regeneron,N459FX,28 Sep 2025,Chicago (ORD),Windsor (YQG),LXJ459,-,2:30 PM,4:11 PM,5:53 PM,28 Sep 2025
regeneron,N459FX,28 Sep 2025,Cleveland (CGF),Traverse City (TVC),LXJ459,0:52,10:06 AM,10:40 AM,11:37 AM,27 Sep 2025
regeneron,N459FX,27 Sep 2025,Dublin (DUB),Bangor (BGR),LXJ459,6:02,9:00 AM,9:59 AM,10:59 AM,25 Sep 2025
regeneron,N459FX,25 Sep 2025,Toronto (YYZ),London (LTN),LXJ459,6:39,6:30 AM,6:54 AM,6:06 PM,24 Sep 2025
regeneron,N459FX,23 Sep 2025,San Jose (SJC),Bedford (BED),LXJ459,5:00,1:00 PM,2:18 PM,10:21 PM,23 Sep 2025
regeneron,N459FX,22 Sep 2025,Cancun (CUN),Van Nuys (VNY),LXJ459,4:32,9:49 PM,5:17 PM,7:32 PM,22 Sep 2025
regeneron,N459FX,21 Sep 2025,Little Rock (LIT),Nashville (BNA),LXJ459,0:48,9:30 PM,10:07 PM,11:03 PM,21 Sep 2025
regeneron,N459FX,21 Sep 2025,Teterboro (TEB),Chicago (MDW),LXJ459,2:02,5:00 PM,5:47 PM,6:48 PM,20 Sep 2025
regeneron,N459FX,20 Sep 2025,Teterboro (TEB),Dallas (DAL),LXJ459,3:00,4:30 PM,4:35 PM,6:47 PM,19 Sep 2025
regeneron,N459FX,18 Sep 2025,Teterboro (TEB),Aspen (ASE),LXJ459,3:43,7:00 AM,7:53 AM,9:41 AM,16 Sep 2025
regeneron,N459FX,14 Sep 2025,King Salmon (AKN),Dillingham (DLG),LXJ459,0:18,7:25 PM,7:23 PM,7:41 PM,14 Sep 2025
regeneron,N459FX,14 Sep 2025,San Jose (SJC),Monterey (MRY),LXJ459,0:22,11:40 AM,12:06 PM,12:38 PM,13 Sep 2025
regeneron,N459FX,13 Sep 2025,Pontiac (PTK),Atlanta (QQR),LXJ459,1:23,10:31 AM,11:01 AM,12:03 PM,12 Sep 2025
regeneron,N459FX,12 Sep 2025,Venice (VNC),Boca Raton (BCT),LXJ459,0:32,8:20 AM,8:55 AM,9:31 AM,11 Sep 2025
regeneron,N459FX,11 Sep 2025,Orlando (SFB),Morristown (MMU),LXJ459,2:00,8:00 AM,9:25 AM,11:23 AM,07 Sep 2025
regeneron,N459FX,07 Sep 2025,Chattanooga (CHA),Sarasota (SRQ),LXJ459,1:20,1:45 PM,1:42 PM,3:24 PM,07 Sep 2025
regeneron,N459FX,07 Sep 2025,Council Bluffs (CBF),Nashville (BNA),LXJ459,1:19,8:33 AM,9:02 AM,10:28 AM,06 Sep 2025
regeneron,N459FX,06 Sep 2025,Tuscaloosa (TCL),St. Louis (CPS),LXJ459,0:56,2:30 PM,2:11 PM,3:55 PM,06 Sep 2025
regeneron,N459FX,05 Sep 2025,Van Nuys (VNY),Santa Ana (SNA),LXJ459,0:18,1:30 PM,2:12 PM,2:34 PM,01 Sep 2025
regeneron,N459FX,01 Sep 2025,Detroit (DTW),Pellston (PLN),LXJ459,0:42,10:14 AM,10:54 AM,11:36 AM,29 Aug 2025
regeneron,N459FX,29 Aug 2025,Youngstown (YNG),Windsor (YQG),LXJ459,0:32,1:30 PM,2:26 PM,3:04 PM,29 Aug 2025
regeneron,N459FX,29 Aug 2025,Windsor (YQG),Cleveland (CLE),LXJ459,0:19,8:30 AM,8:33 AM,9:16 AM,28 Aug 2025
regeneron,N459FX,27 Aug 2025,Dallas (DAL),Atlanta (PDK),LXJ459,1:36,9:50 AM,10:33 AM,1:11 PM,26 Aug 2025
regeneron,N459FX,26 Aug 2025,Aspen (ASE),Dallas (DAL),LXJ459,1:40,8:30 AM,9:08 AM,11:53 AM,25 Aug 2025
regeneron,N459FX,24 Aug 2025,North Bend (OTH),Seattle (BFI),LXJ459,0:46,12:16 PM,12:48 PM,1:41 PM,24 Aug 2025
regeneron,N459FX,24 Aug 2025,Holland (QTB),Waukesha (UES),LXJ459,0:24,9:30 AM,9:53 AM,9:03 AM,23 Aug 2025
regeneron,N459FX,23 Aug 2025,Hailey (SUN),Charlottesville (CHO),LXJ459,3:33,10:00 AM,10:36 AM,4:09 PM,23 Aug 2025
regeneron,N459FX,22 Aug 2025,Washington (IAD),Denver (APA),LXJ459,3:05,4:30 PM,4:53 PM,6:09 PM,22 Aug 2025
regeneron,N459FX,22 Aug 2025,Traverse City (TVC),Toronto (YYZ),LXJ459,0:48,11:00 AM,10:55 AM,12:25 PM,21 Aug 2025
regeneron,N459FX,21 Aug 2025,Chicago (MDW),Pellston (PLN),LXJ459,0:51,2:00 PM,3:32 PM,5:21 PM,21 Aug 2025
regeneron,N459FX,20 Aug 2025,North Bend (OTH),Nashville (BNA),LXJ459,3:58,9:30 AM,10:09 AM,3:29 PM,18 Aug 2025
regeneron,N459FX,18 Aug 2025,Bedford (BED),Farmingdale (FRG),LXJ459,0:40,12:46 PM,1:18 PM,2:08 PM,17 Aug 2025
regeneron,N459FX,17 Aug 2025,Nassau (NAS),Bedford (BED),LXJ459,2:42,4:30 PM,5:07 PM,7:20 PM,17 Aug 2025
regeneron,N459FX,16 Aug 2025,Philadelphia (TTN),Houston (QSE),LXJ459,3:10,3:00 PM,3:56 PM,5:07 PM,16 Aug 2025
regeneron,N459FX,16 Aug 2025,Chicago (PWK),Teterboro (TEB),LXJ459,1:35,8:30 AM,8:53 AM,11:37 AM,15 Aug 2025
regeneron,N459FX,14 Aug 2025,North Bend (OTH),Chicago (MDW),LXJ459,3:40,2:30 PM,3:46 PM,9:34 PM,14 Aug 2025
regeneron,N459FX,14 Aug 2025,Washington (IAD),Bozeman (BZN),LXJ459,3:48,9:30 AM,10:32 AM,12:32 PM,13 Aug 2025
regeneron,N459FX,11 Aug 2025,Hayward (HWD),Teterboro (TEB),LXJ459,5:03,10:30 AM,11:00 AM,7:11 PM,09 Aug 2025
regeneron,N459FX,09 Aug 2025,Hayward (HWD),Las Vegas (LAS),LXJ459,0:58,2:30 PM,3:10 PM,4:18 PM,08 Aug 2025
regeneron,N459FX,07 Aug 2025,Santa Barbara (SBA),San Jose (SJC),LXJ459,0:38,5:30 PM,6:24 PM,7:10 PM,07 Aug 2025
regeneron,N459FX,07 Aug 2025,San Jose (SJC),San Diego (CLD),LXJ459,1:03,10:30 AM,11:07 AM,12:18 PM,06 Aug 2025
regeneron,N459FX,06 Aug 2025,Aspen (ASE),Denver (DEN),LXJ459,0:31,11:56 AM,1:22 PM,2:02 PM,06 Aug 2025
regeneron,N459FX,05 Aug 2025,Monterey (MRY),Napa (APC),LXJ459,0:29,5:17 PM,5:49 PM,6:24 PM,05 Aug 2025
regeneron,N459FX,05 Aug 2025,Oakland (OAK),Van Nuys (VNY),LXJ459,0:49,1:05 PM,1:11 PM,1:59 PM,04 Aug 2025
regeneron,N459FX,03 Aug 2025,Chicago (UGN),White Plains (HPN),LXJ459,1:42,1:55 PM,2:45 PM,5:43 PM,03 Aug 2025
regeneron,N459FX,03 Aug 2025,Miami (OPF),Asheville (AVL),LXJ459,1:36,9:23 AM,9:53 AM,11:44 AM,02 Aug 2025
regeneron,N459FX,02 Aug 2025,Nice (NCE),Bangor (BGR),LXJ459,7:55,12:30 PM,2:06 PM,4:09 PM,02 Aug 2025
regeneron,N459FX,31 Jul 2025,Nice (NCE),Marseille (MRS),LXJ459,0:25,9:50 PM,10:24 PM,10:24 PM,31 Jul 2025
regeneron,N459FX,29 Jul 2025,Coatesville (CTH),New York (LGA),LXJ459,0:34,3:53 PM,3:55 PM,4:50 PM,29 Jul 2025
regeneron,N459FX,29 Jul 2025,Scottsdale (SCF),Eagle (EGE),LXJ459,1:15,6:10 AM,6:47 AM,9:31 AM,28 Jul 2025
regeneron,N459FX,27 Jul 2025,Chicago (MDW),Cleveland (BKL),LXJ459,0:46,4:15 PM,4:33 PM,6:20 PM,27 Jul 2025
regeneron,N459FX,27 Jul 2025,Santa Barbara (SBA),Santa Rosa (STS),LXJ459,1:02,7:03 AM,7:31 AM,8:45 AM,25 Jul 2025
regeneron,N459FX,25 Jul 2025,Vancouver (YVR),Seattle (BFI),LXJ459,0:24,3:39 PM,3:47 PM,4:12 PM,25 Jul 2025
regeneron,N459FX,25 Jul 2025,Van Nuys (VNY),Mountain View (NUQ),LXJ459,0:46,9:52 AM,10:23 AM,11:17 AM,24 Jul 2025
regeneron,N459FX,23 Jul 2025,Kailua-Kona (KOA),Santa Ana (SNA),LXJ459,4:46,12:30 PM,1:42 PM,9:27 PM,21 Jul 2025
regeneron,N459FX,20 Jul 2025,Rifle (RIL),Long Beach (LGB),LXJ459,1:38,1:12 PM,1:17 PM,1:54 PM,20 Jul 2025
regeneron,N459FX,20 Jul 2025,West Palm Beach (PBI),Panama City (ECP),LXJ459,1:04,9:15 AM,9:49 AM,9:54 AM,20 Jul 2025
regeneron,N459FX,18 Jul 2025,Atlantic City (ACY),Miami (OPF),LXJ459,2:10,10:24 PM,11:13 PM,1:31 AM,18 Jul 2025
regeneron,N459FX,18 Jul 2025,Burbank (BUR),Westhampton Beach (FOK),LXJ459,4:57,9:30 AM,10:47 AM,6:53 PM,18 Jul 2025
regeneron,N459FX,17 Jul 2025,Westhampton Beach (FOK),Van Nuys (VNY),LXJ459,5:43,3:30 PM,4:45 PM,7:27 PM,17 Jul 2025
regeneron,N459FX,17 Jul 2025,St. Petersburg (PIE),Asheville (AVL),LXJ459,1:17,10:00 AM,10:23 AM,11:57 AM,17 Jul 2025
