airport_code,lat,lon
BBQ,17.6358,-61.8286
ANU,17.1367,-61.7927
AXA,18.2048,-63.0551
BGI,13.0746,-59.4925
BDA,32.364,-64.6787
ELH,25.4749,-76.6835
MHH,26.5114,-77.0835
NAS,25.039,-77.4662
BZE,17.5391,-88.3082
YYC,51.1139,-114.02
YLW,49.9561,-119.378
YVR,49.1939,-123.184
YYT,47.6186,-52.7519
YHM,43.1736,-79.935
YPD,45.2575,-79.8297
YQG,42.2756,-82.9556
YTZ,43.6285,-79.396
YYZ,43.6797,-79.6227
YYG,46.29,-63.1211
YQB,46.7911,-71.3933
YUL,45.4657,-73.7455
ZRH,47.4647,8.54917
CTG,10.4424,-75.513
LIR,10.5933,-85.5444
NRN,51.6024,6.14217
RKE,55.5856,12.1314
POP,19.7579,-70.57
AGP,36.6749,-4.49911
PMI,39.5517,2.73881
MAD,40.4719,-3.56264
VLC,39.4893,-0.481625
LYS,45.7256,5.08111
LBG,48.9622,2.4383
MRS,43.4393,5.22142
NCE,43.6584,7.21587
TLN,43.0973,6.14603
FAB,51.2758,-0.776333
LTN,51.8747,-0.368333
EDI,55.95,-3.3725
GLA,55.8719,-4.43306
GUA,14.5817,-90.5267
SNN,52.702,-8.92482
DUB,53.4213,-6.27007
RKV,64.13,-21.9406
KEF,63.985,-22.6056
NAP,40.886,14.2908
GOA,44.4133,8.8375
LIN,45.4494,9.2783
MXP,45.6306,8.72811
OLB,40.8987,9.51763
GCM,19.2928,-81.3577
RAK,31.6069,-8.0363
LAP,24.0727,-110.362
SJD,23.1518,-109.721
TAP,14.7943,-92.37
GDL,20.5218,-103.311
PVR,20.6801,-105.254
TLC,19.3371,-99.566
CUN,21.0365,-86.8771
OSL,60.1939,11.1004
LRM,18.4507,-68.9118
SJU,18.4394,-66.0018
VST,59.6018,16.6284
SXM,18.041,-63.1089
PLS,21.7736,-72.2659
AUO,32.6151,-85.434
BHM,33.5629,-86.7535
TCL,33.2206,-87.6114
AKN,58.6768,-156.649
ANC,61.1744,-149.996
DLG,59.0447,-158.505
GST,58.4253,-135.707
AVW,32.4096,-111.218
FHU,31.5885,-110.344
PHX,33.4343,-112.012
SCF,33.6229,-111.911
TUS,32.1161,-110.941
LIT,34.7294,-92.2243
APC,38.2132,-122.281
BUR,34.2007,-118.359
CLD,33.1283,-117.28
CSL,35.3261,-120.7429
HWD,37.6592,-122.122
LAX,33.9425,-118.408
LGB,33.8177,-118.152
MHR,38.5539,-121.298
MRY,36.587,-121.843
NUQ,37.4161,-122.049
OAK,37.7213,-122.221
PSP,33.8297,-116.507
SAC,38.5125,-121.493
SAN,32.7336,-117.19
SBA,34.4262,-119.84
SBP,35.2368,-120.642
SCK,37.8942,-121.238
SDM,32.5723,-116.98
SFO,37.619,-122.375
SJC,37.3626,-121.929
SMF,38.6954,-121.591
SMX,34.8989,-120.457
SNA,33.6757,-117.868
SNS,36.6628,-121.606
SPA,34.9157,-81.9565
STS,38.509,-122.813
TKF,39.32,-120.14
TRM,33.6267,-116.16
TVL,38.8939,-119.995
VNY,34.2098,-118.49
APA,39.5701,-104.849
ASE,39.2232,-106.869
BJC,39.9088,-105.117
COS,38.8058,-104.701
DEN,39.8617,-104.673
EGE,39.6426,-106.918
FNL,40.4518,-105.011
GJT,39.1224,-108.527
GUC,38.5339,-106.933
HDN,40.4812,-107.218
MTJ,38.5098,-107.894
RIL,39.5263,-107.727
TEX,37.9538,-107.908
BDL,41.9392,-72.6833
BDR,41.1635,-73.1262
GON,41.3301,-72.0451
HFD,41.7367,-72.6494
HVN,41.2637,-72.8868
GED,38.6892,-75.3589
APF,26.1526,-81.7753
BCT,26.3785,-80.1077
BOW,27.9434,-81.7834
ECP,30.3571,-85.7954
EYW,24.5561,-81.7596
FLL,26.0726,-80.1527
FMY,26.5866,-81.8633
FXE,26.1973,-80.1707
GNV,29.6901,-82.2718
ISM,28.2898,-81.4371
JAX,30.4941,-81.6879
LAL,27.9889,-82.0186
MIA,25.7932,-80.2906
MTH,24.7261,-81.0514
OPF,25.907,-80.2784
ORL,28.5455,-81.3329
PBI,26.6832,-80.0956
PIE,27.9102,-82.6874
RSW,26.5362,-81.7552
SFB,28.7776,-81.2375
